
No.	单词	解释
1453	palate	n. 味觉；趣味；[解]上颚
1454	majestic	adj. 宏伟的；庄严的
1455	majesty	n. 威严；雄伟；权威；最高权威，王权
1456	magnate	n. 巨头；大资本家；要人；富豪；……大王
1457	cone	1. n. 圆锥体，圆锥形；球果<br>2. vt. 使成锥形
1458	cones	n. 圆锥细胞
1459	con	1. n. 反对票；反对论<br>2. vt. 精读；默记
1460	clue	1. n. 线索；（故事等的）情节<br>2. vt. 为…提供线索；[口]为…提供情况
1461	dart	1. n. 镖；标枪；飞镖；猛冲<br>2. vi. 突进；猛冲；投掷
1462	sniff	1. vi. 嗤之以鼻；嗅<br>2. vt. 用力吸；发觉；闻；嗅
1463	snivel	1. n. 流鼻涕；啜泣<br>2. vi. 流鼻涕；哭泣
1464	pillar	1. n. 柱子，柱形物；栋梁；墩<br>2. vt. 用柱支持
1465	dismantle	vt. 拆开, 拆卸; 废除, 取消时 态: dismantled, dismantling, dismantles 名 词: dismantlement
1466	mantle	1. n. 覆盖物；[地]地幔；斗篷<br>2. vi. 覆盖；脸红
1467	cloak	1. n. 斗蓬；宽大外衣；托词<br>2. vt. 遮掩；隐匿
1468	clock	1. n. 时钟；计时器<br>2. vt. 记录；记时
1469	traveler	n. 旅行者；旅客；旅行推销员（等于traveller）
1470	garment	1. n. 衣服，服装；外表，外观<br>2. vt. 给…穿衣服
1471	cape	n. 披肩；海角，岬
1472	bell	1. n. 铃，钟；钟声，铃声；钟状物<br>2. vt. 装钟于，系铃于
1473	enshroud	vt. （用寿衣）掩盖；遮蔽；笼罩
1474	spread	1. vi. 传播；伸展<br>2. vt. 传播，散布；展开；伸展；铺开
1475	fuzzy	adj. 模糊的；有绒毛的；失真的
1476	tadpole	n. 蝌蚪
1477	stunned	1. adj. 受惊的<br>2. v. 使震惊；使不知所措（stun的过去式及过去分词形式）
1478	stun	1. vt. 打昏；使震惊；给以深刻的印象<br>2. n. 打昏；昏迷；惊倒；令人惊叹的事物
1479	stunning	1. adj. 极好的；使人晕倒的；震耳欲聋的<br>2. v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）
1480	camp	1. vi. 扎营；露营<br>2. vt. 扎营；使扎营
1481	guttural	1. adj. 喉音的；喉咙的；咽喉的<br>2. n. 喉音字；喉音
1482	bowel	1. n. 肠；内部；同情<br>2. vt. 将……的肚肠取出
1483	guttur	n. 咽喉
1484	tenacity	n. 固执；韧性；不屈不挠；黏性
1485	extinct	1. adj. 灭绝的，绝种的；熄灭的<br>2. vt. [古]使熄灭
1486	extinguish	vt. 使熄灭, 扑灭; 使…不复存在时 态: extinguished, extinguishing, extinguishes 形容词: extinguishable ...
1487	hoard	1. vi. 积聚钱财；贮藏货物<br>2. vt. 贮藏
1488	graft	1. vi. 嫁接；移植；贪污<br>2. vt. 嫁接；移植；贪污
1489	runes	n. 如尼文；用如尼文写的手稿；诗歌；具有神秘意义的符号（rune的复数）
1490	rune	n. 诗歌；古代北欧文字；神秘的记号
1491	archenemy	n. 主要敌人;大敌; 魔王;撒旦
1492	mist	1. n. 薄雾；视线模糊不清；模糊不清之物<br>2. vi. 下雾；变模糊
1493	bolt	1. n. 闪电；螺栓；门闩；弩箭<br>2. vt. 囫囵吞下；上门闩
1494	cradle	1. n. 摇篮；支船架；发源地；发祥地<br>2. vt. 抚育；把...搁在支架上；把...放在摇篮内
1495	gospel	1. n. 信条；真理<br>2. adj. 传播福音的；福音赞美诗的
1496	sack	1. n. 麻布袋；洗劫<br>2. vt. 解雇；把……装入袋；劫掠
1497	abbey	n. 大修道院，大寺院；修道院中全体修士或修女
1498	abbot	n. 男修道院院长；大寺院男住持
1499	abbess	n. 女修道院院长；女庵主持
1500	hold out	伸出，坚持
1501	supplant	vt. 代替；排挤掉
1502	hail	1. n. 冰雹；致敬；招呼；一阵<br>2. vt. 招呼；猛发；致敬；向...欢呼；使象下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
1503	greetings	n. 问候,打招呼
1504	darling	n. 心爱的人，亲爱的
1505	cottage	n. 村舍；小屋；（农舍式的）小别墅
1506	that	1. pron. 那；那个<br>2. adv. 那么；那样
1507	warfare	n. 战争；冲突
1508	guerilla	1. n. 游击队；游击队员<br>2. adj. 游击的
1509	guerrilla	n. 游击队员
1510	war	1. n. 战争，斗争；冲突，对抗，竞争；军事，战术<br>2. vi. 打仗，作战；对抗
1511	purists	n. 纯化论者（purist的复数）
1512	muster	1. vt. 召集；对…进行点名；使振作<br>2. n. 集合；检阅；点名册；集合人员
1513	trackway	n. 踏出来的路；（英国的）古道；轨道
1514	ridgeway	n. 山脊路
1515	FP	abbr. 冰点（Freezing Point）；火险单（Fire Policy）；固定价格（Fixed Price）；全部付讫（Fully Paid）；流动保险单（Floating Policy）
1516	followed as	n. 追随者；属下；信徒
1517	follow	1. vt. 跟随；追求；遵循；密切注意<br>2. vi. 跟随；接着
1518	rout	1. vt. 击溃<br>2. vi. 搜寻
1519	rupture	1. n. 破裂；决裂；疝气<br>2. vi. 破裂；发疝气
1520	secure	1. adj. 安全的；无虑的；有把握的；稳当的<br>2. vt. 保护；招致；缚住；弄到
1521	dreading	1. n. 装载杂货选择权<br>2. v. 害怕；恐惧；担忧（dread的ing形式）
1522	baptise	1. vt. 洗涤；给…施洗礼<br>2. vi. 施洗礼
1523	baptize	1. vt. 给…施浸礼；命名；使经受考验（等于baptise）<br>2. vi. 施行洗礼（等于baptise）
1524	engulf	vt. 吞没；吞食，狼吞虎咽
1525	gulf	1. n. 海湾；深渊；漩涡；分歧<br>2. vt. 吞没
1526	beck	n. 点头；招手；（英）小河
1527	indication	n. 指示, 表示; 象征, 迹象
1528	beckon	1. vt. 召唤；吸引<br>2. vi. （招手或点头）示意；吸引
1529	trumpet	1. n. 喇叭；喇叭声<br>2. vt. 吹嘘；吹喇叭
1530	tack	1. n. 大头钉；粗缝；行动方针；食物<br>2. vt. 附加；以大头针钉住
1531	indistinct	adj. 模糊的，不清楚的；难以清楚辨认的；朦胧的
1532	monastery	n. 修道院形容词: monasterial
1533	clergy-house	n. 牧师之宿舍
1534	clergy	n. 牧师；神职人员；僧侣
1535	clerk	1. n. 职员，办事员；店员；书记；记帐员<br>2. vi. 当销售员，当店员
1536	cleric	1. n. 牧师；传教士<br>2. adj. 牧师的，教士的
1537	clastic	adj. 碎片性的；[地质]碎屑状的；（模型等）可分解的
1538	hinge	1. n. 铰链；枢纽；关键<br>2. vt. 给…安装铰链
1539	away	adv. 离去，离开；在远处
1540	vernacular	n. 本国语,本地话,方言; 行话; 白话;白话文; 动植物的俗名; adj. 本国语的；白话的；方言的; 本国的;本地的; 动植物俗名的副 词: vernacularly
1541	cask	1. n. 木桶，桶<br>2. vt. 装入桶内
1542	casket	1. n. 小箱；骨灰盒；棺材<br>2. vt. 把……装进小箱；入殓
1543	quash	vt. 撤销；镇压；宣布无效；捣碎
1544	helmet	n. 钢盔，头盔
1545	relic	n. 废墟；纪念物；遗迹，遗物
1546	relics	n. 遗迹；遗骸；纪念物（relic的复数）
1547	trait	n. 特性，特点；品质；少许
1548	traitor	n. 叛徒；卖国贼；背信弃义的人
1549	acquit	vt. 无罪释放；表现；脱卸义务和责任；清偿
1550	conduit	n. 导管；导水管；沟渠
1551	stock	1. n. 股份，股票；血统；树干；库存<br>2. adj. 平凡的；存货的，常备的
1552	in favor of	有利于；赞同；支持
1553	solemnise	v. 〈主英〉隆重庆祝
1554	solemn	adj. 庄严的，严肃的；隆重的，郑重的
1555	swathe	1. vt. 包围；紧绑；裹<br>2. n. 带子，绷带；包装品
1556	swath	n. 细长的列；收割的刈痕；收割的宽度
1557	swaddle	1. vt. 用襁褓包；束缚<br>2. n. 襁褓
1558	swade	n. （印）抵制英国货运动；斯瓦代希棉布
1559	troubadour	n. 行吟诗人；民谣歌手
1560	vallein	n. 墨铜矿
1561	villein	n. [史]农奴；佃农
1562	villain	n. 坏人，恶棍；戏剧、小说中的反派角色；[口]顽童；[英口]罪犯
1563	villa	n. 别墅；郊区住宅
1564	hut	1. n. 小屋；临时营房<br>2. vt. 使住在小屋中；驻扎
1565	tend	1. vi. 趋向，倾向；照料，照顾<br>2. vt. 照料，照管
1566	mutton	n. [谑]绵羊；羊肉
1567	falconry	n. 放鹰捕猎；训鹰术
1568	falcon	n. 猎鹰；隼
1569	oust	vt. 剥夺；驱逐；取代
1570	ascendancy	n. 优势；支配地位
1571	embezzle	vt. 盗用；挪用；贪污
1572	reassume	vt. 再假定；再采取；再承担
1573	galvanise	vt. 用锌镀; 激起某人行动起来
1574	galvanize	vt. 用锌镀; 激起某人行动起来时 态: galvanized, galvanizing, galvanizes 名 词: galvanization 名 词: ga...
1575	galvanism	n. 流电,电疗法,流电学
1576	mongrel	1. n. 混血儿；杂种；杂种动物<br>2. adj. 杂种的；混血儿的
1577	trow	1. vi. 相信<br>2. vt. 相信，以为
1578	homily	n. 说教；训诫
1579	sermon	1. n. 训诫；布道；启示；冗长的讲话<br>2. vt. 对…布道；对…说教
1580	ancestor	n. 始祖，祖先；被继承人
1581	desert	1. vt. 遗弃；放弃；逃跑<br>2. vi. 遗弃；逃掉；开小差
1582	germ	1. n. 细菌；胚芽，萌芽<br>2. vi. 萌芽
1583	german	1. adj. 德国的；德语的，德国人的<br>2. n. 德语；德国人
1584	wheat	n. 小麦；小麦色
1585	pestis	1. vt. 用杵捣；用槌磨<br>2. vi. 用杵捣碎；用槌磨碎
1586	pasteurella	n. 巴斯德菌 Pasteurella巴斯德氏菌属
1587	plague	1. n. 瘟疫；灾祸；麻烦；讨厌的人<br>2. vt. 折磨；使苦恼；使得灾祸
1588	sought	v. 寻找（seek的过去式和过去分词）
1589	shed	1. vt. 散发；流出；摆脱；倾吐<br>2. vi. 流出；脱落；散布
1590	shade	1. n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别<br>2. vt. 为…遮阳；使阴暗；使阴郁；掩盖；使渐变
1591	pesty	假弓浆虫病
1592	pestilence	n. 瘟疫（尤指鼠疫）；有害的事物
1593	pest	n. 害虫；有害之物；讨厌的人
1594	disproportionality	比例失调
1595	parish	n. 教区
1596	laymen	n. 活动停止期间；临时解雇；操作停止；失业期
1597	livestock	n. 家畜, 牲畜
1598	drap	n. 〈法〉织物
1599	draped	1. adj. 垂褶袖；打褶形<br>2. vt. 用布帘覆盖（drape的过去式及过去分词）
1600	drape	1. vt. 用布帘覆盖；使呈褶裥状<br>2. vi. 成褶皱状垂下
1601	disendit	vt. 没收基金时 态: disendowed, disendowing, disendows 名 词: disendower 名 词: disendowment
1602	disend	vt. 没收基金时 态: disendowed, disendowing, disendows 名 词: disendower 名 词: disendowment
1603	disengage	vt. 分开, 分离; 解开, 松开; 释放; 使脱离战斗; vi. 脱离时 态: disengaged, disengaging, disengages 名 词: disen...
1604	loan	1. n. 贷款；借款<br>2. vi. 借出
1605	bifilar	adj. 双线的；双股的
1606	bifil	adj. 双线的；双股的
1607	live on	靠...过活, 以...为主食
1608	pilgrim	1. n. 朝圣者；漫游者；（美）最初的移民<br>2. vi. 去朝圣；漫游
1609	fable	1. n. 寓言；无稽之谈<br>2. vi. 编寓言；虚构
1610	bawdy	adj. 猥亵的；下流的；卖淫的
1611	bawd	n. 鸨母；妓院女老板；妓女
1612	farce	n. 闹剧；胡闹；笑剧
1613	force-meat	测力计
1614	praise	1. n. 称赞；赞扬；崇拜；荣耀<br>2. vt. 赞美，歌颂；表扬
1615	liturgical	adj. 礼拜仪式的副 词: liturgically
1616	tailor	1. vt. 剪裁；使合适<br>2. n. 裁缝
1617	hit	1. vt. 袭击；碰撞；打击；偶然发现；伤…的感情<br>2. vi. 打击；打；碰撞；偶然碰上
1618	hate	1. vt. 憎恨；厌恶；遗憾<br>2. vi. 仇恨
1619	exalted	1. adj. 尊贵的；高尚的；兴奋的<br>2. v. 高举；赞扬；使激动（exalt的过去分词）
1620	exalt	1. vt. 提升；提拔；赞扬；使得意<br>2. vi. 使人得意
1621	ensnare	vt. 诱捕；诱入陷阱；进入罗网
1622	snare	1. n. 陷阱；圈套；勒除器<br>2. vt. 捕捉；诱惑
1623	noose	1. n. 套索；束缚；绞刑<br>2. vt. 用套索捉；使落入圈套
1624	Proto	n. [计]样机；原型；典型
1625	beguile	vt. 欺骗；使着迷；轻松地消磨
1626	guile	n. 狡猾；欺诈；诡计
1627	wile	1. vt. 欺骗，诱骗；消遣<br>2. n. 诡计，阴谋
1628	prime	1. adj. 基本的；最好的；主要的<br>2. adv. 极好地
1629	friar	n. [天主教]化缘修士；男修道士
1630	eventide	n. 黄昏；日暮
1631	swine	n. 猪；卑贱的人
1632	sow	1. vt. 播种；散布；使密布<br>2. vi. 播种
1633	synod	n. 大会；宗教会议；[基]教会法院
1634	exhume	vt. 发掘；掘出
1635	disinter	vt. 掘出；发掘；显露
1636	strangle	1. vt. 把…勒死；使…窒息<br>2. vi. 窒息而死；被勒死
1637	almighty	1. adj. 全能的；有无限权力的<br>2. adv. 非常
1638	lagging	1. n. 绝缘层材料<br>2. adj. 落后的
1639	lag	1. n. 迟延；防护套；囚犯；桶板；落后<br>2. vt. 押往监狱；落后于；加上外套
1640	meteor	n. 流星；大气现象
1641	meteorologic	adj. 气象的,气象学的
1642	meteorology	n. 气象学形容词: meteorological 副 词: meteorologically
1643	sumptuous	adj. 豪华的, 奢侈的副 词: sumptuously 名 词: sumptuousness
1644	honeycomb	n. 蜂窝,蜂巢时 态: honeycombed, honeycombing, honeycombs
1645	comb	1. n. 鸡冠；梳子；蜂巢<br>2. vt. 梳头发；梳毛
1646	molar	1. adj. 臼齿的；磨碎的；质量的<br>2. n. 臼齿，磨牙
1647	honey	1. n. 蜂蜜；甜蜜；宝贝<br>2. adj. 甘美的；蜂蜜似的
1648	combing	1. n. 梳弃的毛或发；梳毛<br>2. v. 梳理；卷起；到处搜寻（comb的ing形式）
1649	uproar	n. 骚动；喧嚣
1650	inkhorn	1. n. 墨水瓶<br>2. adj. 学究气的；卖弄学问的
1651	horn	1. n. 角；喇叭，号角<br>2. vt. 装角于
1652	tunge	腾格林瓦合金
1653	courtier	n. 奉承者；朝臣；谄媚者
1654	mould	1. vi. 发霉<br>2. vt. 浇铸；用泥土覆盖
1655	moulding	1. n. 模制；浇铸<br>2. v. 用模子制作；塑造（mould的ing形式）
1656	prey	1. vi. 捕食；掠夺；折磨<br>2. n. 牺牲者；被捕食的动物；捕食
1657	prae-	n. 前腹
1658	discriminate	vt. & vi. 分别, 辨别, 区分; vi. 歧视, 有差别地对待时 态: discriminated, discriminating, discriminates 形容词:...
1659	discriminating	adj. 有鉴别能力的;有识别能力的副 词: discriminatingly
1660	enchant	vt. 使迷惑；施魔法
1661	enchantment	n. 魅力,迷人之处; 施魔法;着魔
1662	disinsterest	adj. 能崩解的,易碎裂的,可分解的
1663	disinterest	n. 无兴趣; 不关心; 冷漠; 客观; 公正
1664	disinterested	adj. 公正的,无私的,不偏袒的; 不感兴趣的,不关心的副 词: disinterestedly 名 词: disinterestedness
1665	disparate	adj. 根本不同的, 不能相比较的副 词: disparately 名 词: disparateness
1666	pare	vt. 削皮；剪；修掉（边等）；消减
1667	dispatch	1. n. 派遣；急件<br>2. vt. 派遣；[计算机]分派
1668	impeach	1. vt. 弹劾；归咎；怀疑<br>2. n. 控告，检举；弹劾；怀疑
1669	shackle	1. n. 桎梏；脚镣；束缚<br>2. vt. 束缚；加枷锁
1670	dissect	1. vt. 切细；仔细分析<br>2. vi. 进行解剖；进行详细分析
1671	dissection	n. 解剖，切开；解剖体；详细查究
1672	section	1. n. 章节；地区；截面；部门<br>2. vi. 被切割成片；被分成部分
1673	disseminate	vt. 散布, 传播时 态: disseminated, disseminating, disseminates 名 词: dissemination 名 词: dis...
1674	semen	n. 精液；精子
1675	dissolute	adj. 放荡的,淫乱的副 词: dissolutely 名 词: dissoluteness
1676	lax	1. n. 松元音；泻肚<br>2. adj. 松懈的；松的；腹泻的
1677	dissuade	vt. 劝阻，劝止
1678	suasion	n. 说服，劝告
1679	sweet	1. adj. 甜的；悦耳的；芳香的；亲切的<br>2. n. 糖果；乐趣；芳香；宝贝
1680	distain	vt. 使…变色；将…弄脏；伤害…的名誉
1681	tinge	1. n. 淡色；些许味道；风味<br>2. vt. 微染；使带气息
1682	tincture	1. n. [药]酊；色泽；迹象<br>2. vt. 染色
1683	dye	1. n. 染料；染色<br>2. vt. 染；把…染上颜色
1684	century	n. 世纪，百年；（板球）一百分
1685	journal	n. 日报，杂志；日记；[经]分类账
1686	diverge	1. vi. 分歧；分叉；偏离；离题<br>2. vt. 使分叉；使偏离
1687	see	1. vt. 看见；领会；理解<br>2. vi. 看；看见；领会
1688	verge	1. vi. 濒临，接近；处在边缘<br>2. n. 边缘
1689	diverging	发散
1690	divergent	adj. 有分歧的;叉开的;发散的, 扩散的副 词: divergently
1691	diverse	adj. 不同的；变化多的；多种多样的
1692	divulge	vt. 泄露；暴露
1693	dodge	1. n. 躲闪；托词<br>2. vi. 躲避，避开
1694	jog	1. vt. 慢跑；轻推；蹒跚行进；使颠簸<br>2. vi. 慢跑；轻推；蹒跚行进；颠簸着移动
1695	swindle	1. n. 欺诈；骗局<br>2. vt. 诈骗；骗取
1696	doodle	1. vi. 涂鸦；闲混；[美口]随意弹奏<br>2. n. 涂鸦；蠢人
1697	ridicule	1. vt. 嘲笑；愚弄；嘲弄<br>2. n. 嘲笑；愚弄；笑柄
1698	doff	vt. 丢弃，废除；脱（衣，帽等）；落纱
1699	sceptered	1. n. 权杖；节杖（scepter的复数形式）<br>2. vt. 授予…权杖；授予…王权（scepter的三单形式）
1700	scepter	1. n. 节杖（象征君权）；王权<br>2. vt. 授予…王权；拥登王位（等于sceptre）
1701	shaft	1. n. 拍杆；轴；箭杆；杆状物<br>2. vt. 利用；在……上装杆
1702	slender	adj. 微薄的；苗条的；细长的
1703	dolorous	adj. 忧伤的；悲痛的
1704	dour	adj. 严厉的；顽强的；阴沉的；不爱讲话的
1705	endure	1. vt. 忍耐；容忍<br>2. vi. 忍耐；持续
1706	douse	1. vt. 插入水中；弄湿；弄熄；急速收帆；脱掉（衣鞋等）<br>2. vi. 浸泡
1707	haste	1. n. 匆忙；急忙；轻率<br>2. vi. 匆忙；赶紧
1708	sail	1. vi. 航行；启航，开船<br>2. n. 帆，篷；航行
1709	smite	1. vt. 重击；毁灭；打；侵袭；使神魂颠倒<br>2. vi. 重击；打
1710	drenched	1. adj. 湿透的；充满的<br>2. v. 浸湿；强使服药；覆盖（drench的过去分词）
1711	drench	1. vt. 使湿透；给（牲畜）灌药<br>2. n. 滂沱大雨；浸液
1712	drab	1. adj. 单调的；土褐色的<br>2. n. 浅褐色；无生气；邋遢；小额
1713	undyed	adj. 未染色的
1714	draconian	adj. 非常严厉的;非常严酷的
1715	dragon	n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
1716	serpent	n. 蛇（尤指大蛇或毒蛇）；狡猾的人
1717	dreary	adj. 沉闷的，枯燥的
1718	gloomy	adj. 黑暗的；沮丧的；阴郁的
1719	dismal	1. adj. 凄凉的，忧郁的；阴沉的，沉闷的；可怕的<br>2. n. 低落的情绪
1720	drip	1. vi. 滴下；充满；漏下<br>2. n. 水滴，滴水声；[医]静脉滴注；使人厌烦的人
1721	drivel	1. n. 鼻涕；口水；糊涂话<br>2. vi. 淌口水；流鼻涕；说傻话
1722	dribble	1. vt. 连击；使滴下；运球<br>2. vi. 滴下；流口水
1723	droll	1. adj. 滑稽的；好笑的；逗趣的<br>2. n. 小丑，滑稽可笑的人
1724	troll	1. vt. 轮唱，使转动；放声高唱；拖饵钓鱼<br>2. vi. 参加轮唱；宏亮地唱；拖饵钓鱼
1725	drudge	1. vi. 做苦工，干苦力<br>2. vt. 强迫做苦工
1726	dulcet	adj. 悦耳的；美妙的；怡人的
1727	glucose	n. 葡萄糖；葡糖（等于dextrose）
1728	Related	1. adj. 讲述的，叙述的；有关系的，有关联的<br>2. v. 叙述（relate过去式）
1729	gluco-	葡糖
1730	glyco-	pref. 表示“甘油”之义
1731	dupe	1. n. 上当者；易受骗的人<br>2. vt. 欺骗；愚弄（等于duplicate）
1732	dwindle	1. vi. 减少；变小<br>2. vt. 使缩小，使减少
1733	dyspeptic	adj. 消化不良的,胃弱的,患胃病的; n. 消化不良的人副 词: dyspeptically
1734	eclectic	1. adj. 折衷的；选择的；折衷学派的<br>2. n. 折衷派的人；折衷主义者
1735	noun	n. [语]名词
1736	drawn	1. adj. 拔出的<br>2. v. 画，绘图（draw的过去分词）
1737	draw	1. vt. 画；拉；吸引<br>2. vi. 拉；拖
1738	eclectic method	eclectic method n. making decisions on the basis of what seems best instead of following some s...
1739	ecstasy	n. 入迷；狂喜；忘形
1740	rapture	1. n. 兴高采烈<br>2. vt. 使…狂喜
1741	extasie	n. 入迷
1742	rape	1. n. 强奸，掠夺；葡萄渣；油菜<br>2. vt. 强奸；掠夺，抢夺
1743	stupefied	vt. 使惊呆；使昏迷
1744	stupefaction	n. 麻醉；昏迷；麻木状态
1745	stupefy	vt. 使惊呆；使昏迷
1746	derange	vt. 扰乱；使错乱；使发狂
1747	methylendioxymethamphetamine	n. 亚甲基
1748	ecumenic	adj. 普通的，一般的
1749	ecumenical	adj. 一般的,普通的名 词: ecumenical 名 词: ecumenicalism 副 词: ecumenically
1750	ecumenist	n. 泛基督教主义者
1751	ecumenics	n. 泛基督教主义名 词: ecumenist
1752	ecumenism	n. 泛基督教主义名 词: ecumenist
1753	ecclesiastic	n. 神职者,教会,牧师; adj. 神职者的,牧师的,教会的
1754	efface	vt. 抹去，抹掉；使自己不受人注意
1755	effete	adj. 衰老的；疲惫的；（土地）贫瘠的；（动植物）不育的
1756	childbearing	n. 分娩形容词: childbearing
1757	decadent	1. adj. 颓废的；衰微的<br>2. n. 颓废者
1758	aristocracy	n. 贵族,统治阶级; 贵族统治的国家; 一批杰出代表,一批优秀人物; 贵族品质；贵族精神；贵族气派
1759	-cracy	无花果酶
1760	superlative	adj. 最高级的; 最好的;最优秀的; n. 最高级; 最高级形容词或副词副 词: superlatively
1761	paramount	adj. 最高的, 至上的;首要的, 主要的名 词: paramountcy 副 词: paramountly
1762	patrician	n. 统治阶层成员; 贵族,显贵; adj. 隶属于古罗马统治阶层的; 贵族的形容词: patrician 副 词: patricianly
1763	arm	1. n. 手臂；袖子；武器；装备<br>2. vi. 武装起来
1764	limb	1. n. 肢，臂；枝干；分支<br>2. vt. 切断…的手足；从…上截下树枝
1765	elbow	1. n. 弯头；肘部；扶手<br>2. vt. 推挤；用手肘推开
1766	effrontery	n. 厚颜无耻,无礼
1767	blush	1. vi. 脸红；感到惭愧<br>2. n. 脸红；红色；羞愧
1768	audaciousness	n. 厚颜无耻；大胆
1769	egalitarian	adj. 主张平等的,平等主义的; n. 平等主义名 词: egalitarian 名 词: egalitarianism
1770	elaborate	vi. 详尽说明; vt. 详细制定; adj. 复杂的; 精心制作的时 态: elaborated, elaborating, elaborates 副 词: elabor...
1771	elaboration	n. 精心制作；精致；详尽; 精心完成的东西；苦心经营的成果
1772	elate	1. vt. 使…欢欣；使…兴高采烈<br>2. adj. 得意的
1773	elation	n. 兴高采烈，得意洋洋
1774	Metaphoric	adj. 隐喻般的;含有许多隐喻的
1775	metaphor	n. 比喻说法；暗喻，隐喻
1776	buoyancy	n. 浮力；轻快；轻松的心情；（股票）保持高价或回升
1777	buoyant	adj. 有浮力的；轻快的；上涨的
1778	boy	n. 男孩；[美口]男人
1779	elegy	n. 挽歌，哀歌
1780	eulogy	n. 颂词；赞词；颂扬；悼词
1781	elicit	vt. 抽出，引出；引起
1782	shoelace	n. 鞋带
1783	elliptic	adj. 椭圆形的；省略的
1784	ellipsis	n. 省略；省略符号；脱漏
1785	elucidate	vt. 阐明,解释时 态: elucidated, elucidating, elucidates 名 词: elucidation 形容词: elucidative ...
1786	lucid	adj. 易懂的；明晰的；透明的；头脑清楚的
1787	emaciate	1. vt. 使消瘦；使衰弱；使贫瘠<br>2. vi. 消瘦下去
1788	Intransitive	adj. 不及物的副 词: intransitively 名 词: intransitiveness
1789	leanness	n. 贫瘠；瘦；缺乏
1790	lean	1. vi. 倾斜；倚靠；倾向；依赖<br>2. adj. 瘦的；贫乏的，歉收的
1791	leaning	1. n. 倾向，爱好；倾斜<br>2. v. 倚靠（lean的ing形式）
1792	macro-	pref. 表示“大的，长的”之义
1793	emancipate	vt. 解放某人时 态: emancipated, emancipating, emancipates 形容词: emancipative or 名 词: emanc...
1794	embargo	1. vt. 禁止出入港口；禁止或限制贸易；征用或扣押<br>2. n. 封港令；禁令；禁止
1795	embarras	vt. & vi. 窘迫; 局促不安; 困难; vt. 使复杂化; 使拮据时 态: embarrassed, embarrassing, embarrasses 副 词: em...
1796	embarrass	vt. & vi. 窘迫; 局促不安; 困难; vt. 使复杂化; 使拮据时 态: embarrassed, embarrassing, embarrasses 副 词: em...
1797	barras	荷兰粗亚麻布
1798	embed	vt. 栽种；使嵌入，使插入；使深留脑中
1799	bed	1. n. 床；基础；河底， 海底<br>2. vt. 使睡觉；安置，嵌入；栽种
1800	embrace	1. vt. 包含；信奉，皈依；拥抱<br>2. vi. 拥抱
1801	embroider	vt. & vi. 绣花;刺绣时 态: embroidered, embroidering, embroiders 名 词: embroiderer
1802	eminence	n. 显赫；卓越；高处
1803	emulate	1. vt. 仿真；模仿；尽力赶上；同…竞争<br>2. n. 仿效；仿真
1804	emulation	n. 仿效; 竞赛;努力追上并超越;竞争
1805	strife	n. 冲突；争吵；不和
1806	enamored	1. adj. 迷恋的；倾心的<br>2. v. 迷住，使迷恋（enamor的过去分词形式）
1807	enamor	vt. 使迷恋，使倾心
1808	endorse	vt. 背书；签署；认可；赞同；在背面签名
1809	dorsal	adj. 背的，背侧的；背部的
1810	enervate	1. vt. 使衰弱；使失去活力<br>2. adj. 衰弱的；无力的
1811	enervation	n. 无活力;衰弱
1812	sinews	1. n. 肌肉；主要资源（sinew的复数）<br>2. v. 给…以力量；支持（sinew的单三形式）
1813	sinew	1. n. 筋；肌腱；体力；精力<br>2. vt. 加强；使牢固
1814	nerve	1. n. 神经；勇气；[植]叶脉<br>2. vt. 鼓起勇气
1815	engross	vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
1816	wholesale	n. 批发; adj. &adv. 批发; 大规模; vt. 批发时 态: wholesaled, wholesaling, wholesales 名 词: wholesaler
1817	gross	1. adj. 总共的；粗野的；恶劣的；显而易见的<br>2. vt. 总共收入
1818	enigma	n. 谜，不可思议的东西
1819	ennui	n. （法）厌倦，无聊；倦怠
1820	annoy	1. vt. 骚扰；打搅；惹恼<br>2. vi. 令人讨厌；打搅；惹恼
1821	ensconce	vt. 安置；安顿下来；使…隐藏
1822	fortification	n. 加强；设防；防御工事；配方
1823	fortify	1. vt. 加强；（酒）的酒精含量；增强；设防于<br>2. vi. 筑防御工事
1824	en-	pref. 表示“使、使成为”之义;表示“使处于…状态”之义
1825	earthwork	n. 土方,土木工事
1826	sconce	1. n. 头；头盖；突出的烛台<br>2. vt. 遮蔽；受罚请客
1827	fasten	1. vt. 扎牢；使固定；集中于；强加于<br>2. vi. 扣紧；抓住；集中注意力
1828	enthrall	vt. 迷住，使着迷
1829	thrall	1. n. 奴隶；束缚<br>2. adj. 受奴役的
1830	entice	vt. 诱使；怂恿
1831	firebrand	n. 火把,燃烧的木柴,放火者,煽动叛乱者
1832	brand	1. vt. 打烙印于；印…商标于；铭刻于，铭记<br>2. n. 商标，牌子；烙印
1833	tittle	n. 微量；一点；微小
1834	titillate	vt. 使觉得痒; 逗引；激发；使高兴；使感兴趣; vi. 觉得痒; 引起冲动；被激发；觉得兴奋时 态: titillated, titillating, titillates 名...
